url,title,type,layout,rent_area,rent_price,distance,dist,bc,location,lng,lat,aver_price
https://xa.lianjia.com/zufang/XA2528053307872911360.html,合租·新旅城 3居室 南卧,合租,3室1厅1,20,1200,None,碑林,李家村,西安市碑林区新旅城,108.965556,34.242714,60
https://xa.lianjia.com/zufang/XA1567838654297014272.html,整租·大话南门 1室0厅 西南,整租,1室0厅1,30,1800,915m,碑林,南稍门,西安市碑林区大话南门,108.954973,34.246207,60
https://xa.lianjia.com/zufang/XA1613124230004604928.html,合租·大话南门 4居室 南卧,合租,4室1厅1,30,1500,None,碑林,南稍门,西安市碑林区大话南门,108.954973,34.246207,50
https://xa.lianjia.com/zufang/XA1603234741824258048.html,整租·恒佳尊者汇 2室2厅 南,整租,2室2厅1,91,4600,182m,碑林,南稍门,西安市碑林区恒佳尊者汇,108.953655,34.239831,50.54945055
https://xa.lianjia.com/zufang/XA1604707698819989504.html,合租·华豪丽晶黄东社区 3居室 南卧,合租,3室0厅1,25,1150,25m,碑林,黄雁村,西安市碑林区华豪丽晶黄东社区,108.939359,34.246878,46
https://xa.lianjia.com/zufang/XA1603283568912498688.html,整租·陕西省环境监测中心站家属院 2室1厅 西南,整租,2室1厅1,81.27,1700,557m,碑林,南稍门,西安市碑林区陕西省环境监测中心站家属院,108.958846,34.243039,20.91792789
https://xa.lianjia.com/zufang/XA1612395830898065408.html,合租·尚城公馆 4居室 南卧,合租,4室2厅2,20,999,594m,碑林,南稍门,西安市碑林区尚城公馆,108.95775,34.244839,49.95
https://xa.lianjia.com/zufang/XA1603326698642735104.html,整租·大话南门 2室1厅 南,整租,2室1厅1,67,2500,915m,碑林,南稍门,西安市碑林区大话南门,108.954973,34.246207,37.31343284
https://xa.lianjia.com/zufang/XA1603333910056402944.html,整租·陕安朱雀佳苑 2室2厅 南/西,整租,2室2厅2,127,3500,275m,碑林,黄雁村,西安市碑林区陕安朱雀佳苑,108.942999,34.248414,27.55905512
https://xa.lianjia.com/zufang/XA1602949761906769920.html,整租·南门望城 1室1厅 北,整租,1室1厅1,45,2200,633m,碑林,南稍门,西安市碑林区南门望城,108.950908,34.252407,48.88888889
https://xa.lianjia.com/zufang/XA1603329711704899584.html,整租·西安公馆 3室1厅 东,整租,3室1厅2,120,4000,796m,碑林,南稍门,西安市碑林区西安公馆,108.946415,34.250533,33.33333333
https://xa.lianjia.com/zufang/XA1603336150758457344.html,整租·光荣南村 2室1厅 南,整租,2室1厅1,60,1500,801m,碑林,南稍门,西安市碑林区光荣南村,116.063184,39.884233,25
https://xa.lianjia.com/zufang/XA1612398640830087168.html,合租·白金广场小区 4居室 南卧,合租,4室0厅1,16,950,835m,碑林,南稍门,西安市碑林区白金广场小区,108.959529,34.240385,59.375
https://xa.lianjia.com/zufang/XA1603342388955185152.html,整租·西安公馆 3室1厅 东,整租,3室1厅1,110,3900,796m,碑林,南稍门,西安市碑林区西安公馆,108.946415,34.250533,35.45454545
https://xa.lianjia.com/zufang/XA1612735343310667776.html,合租·中贸广场 3居室 南卧,合租,3室1厅1,18,850,960m,碑林,南稍门,西安市碑林区中贸广场,108.952082,34.248943,47.22222222
https://xa.lianjia.com/zufang/XA1603357036559466496.html,整租·大话南门 1室0厅 东,整租,1室0厅1,30,1800,915m,碑林,南稍门,西安市碑林区大话南门,108.954973,34.246207,60
https://xa.lianjia.com/zufang/XA1603716523766054912.html,整租·金色城市 1室0厅 北,整租,1室0厅1,43,2200,413m,碑林,南稍门,西安市碑林区金色城市,108.959344,34.250987,51.1627907
https://xa.lianjia.com/zufang/XA1602989626547503104.html,整租·唐宁国际 1室0厅 南,整租,1室0厅1,45,2400,1177m,碑林,城内,西安市碑林区唐宁国际,108.942952,34.264592,53.33333333
https://xa.lianjia.com/zufang/XA1603009444159946752.html,整租·陕安朱雀佳苑 3室2厅 西南,整租,3室2厅2,140,6000,275m,碑林,黄雁村,西安市碑林区陕安朱雀佳苑,108.942999,34.248414,42.85714286
https://xa.lianjia.com/zufang/XA1603067444795015168.html,整租·东泰城市之光北区 2室1厅 南,整租,2室1厅1,55,2200,622m,碑林,黄雁村,西安市碑林区东泰城市之光北区,108.934809,34.250256,40
https://xa.lianjia.com/zufang/XA1603224110454800384.html,整租·摩登主场 3室2厅 南,整租,3室2厅2,117,3800,938m,碑林,南稍门,西安市碑林区摩登主场,108.955377,34.244081,32.47863248
